Tweet,Tweet_Baru
- disaat semua cowok berusaha melacak perhatian gue. loe lantas remehkan perhatian yg gue kasih khusus ke elo. basic elo cowok bego ! ! !',di saat semua cowok berusaha melacak perhatian gue kamu lantas remehkan perhatian yang gue kasih khusus ke kamu basic kamu cowok ***
RT USER: USER siapa yang telat ngasih tau elu?edan sarap gue bergaul dengan cigax jifla calis sama siapa noh licew juga',rt siapa yang telat memberi tau kamu *** *** gue bergaul dengan cigax jifla calis sama siapa itu licew juga
"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu ninggalkan aku sendirian. Ketika orangtuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter",kadang aku berpikir kenapa aku tetap percaya pada tuhan padahal aku selalu jatuh berkali kali kadang aku merasa tuhan itu meninggalkan aku sendirian ketika orang tuaku berencana berpisah ketika kakakku lebih memilih jadi kristen ketika aku anak ter
USER USER AKU ITU AKU\n\nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU',aku itu aku dan ku tau matamu *** tapi dilihat dari mana itu aku
USER USER Kaum cebong kapir udah keliatan dongoknya dari awal tambah dongok lagi hahahah',kaum *** *** sudah kelihatan dongoknya dari awal tambah *** lagi haha
USER Ya bani taplak dkk \xf0\x9f\x98\x84\xf0\x9f\x98\x84\xf0\x9f\x98\x84',ya *** *** dan kawan kawan xf xf x x xf xf x x xf xf x x
deklarasi pilkada 2018 aman dan anti hoax warga dukuh sari jabon,deklarasi pilihan kepala daerah aman dan anti hoaks warga dukuh sari jabon
Gue baru aja kelar re-watch Aldnoah Zero!!! paling kampret emang endingnya! 2 karakter utama cowonya kena friendzone bray! XD URL,gue baru saja selesai re watch aldnoah zero paling *** memang akhirnya karakter utama cowoknya kena friendzone bro xd uniform resource locator
"Nah admin belanja satu lagi port terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kaw kaw. ð??­; ; Doket mano tu ? Gerai Rojak Mertuaku - Taipan 2 (depan TWINS BABY &amp; ROMANTIKA / Bank Islam Senawang) ð???",nah admin belanja satu lagi port terbaik nak makan ais kepal milo ais kepal horlicks atau cendol toping kau kau doket mana itu gerai rozak mertuaku taipan depan kembar baby amp romantika bank islam senawang
USER Enak lg klo smbil ngewe',enak lagi kalau sambil ***
"Setidaknya gw punya jari tengah buat lu, sebelom gw ukur nyali sama bacot lu \xf0\x9f\x98\x8f'",setidaknya gue punya jari tengah buat kamu sebelum gue ukur nyali sama *** kamu xf xf x xf
USER USER USER USER BANCI KALENG MALU GA BISA JAWAB PERTANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE USER URL,*** kaleng malu tidak bisa jawab pertanyaan kami dari hari lalu nyungsep koe uniform resource locator
Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi USER,kalau belajar ekonomi mestinya jago memprivatisasi hati orang aduh ironi
Aktor huruhara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata,aktor huru hara prabowo si ingin lengserkan pemerintahan jokowi nyata
USER Bu guru enakan jadi jablay atau guru esde sih.\nKayaknya menikmati jadi pecun ini guru.',bu guru enakan jadi *** atau guru sekolah dasar sih kayaknya menikmati jadi *** ini guru
"USER USER USER USER USER USER Lawan bicara gw gak intelek kyk loe, yg otak gak punya. Ttg kencing onta, gw mengakui hadis nabi dan itu sahih. Kafir kyk loe pasti menolak, makanya loe ahlunnar.'",lawan bicara gue tidak intelek kayak kamu yang otak tidak punya tentang kencing *** gue mengakui hadis nabi dan itu sahih *** kayak kamu pasti menolak makanya kamu ahlun nar
Belakangan ini kok fikiran ampas banget ya',belakangan ini kok pikiran *** banget ya
Ari sarua beki mah repeh monyet\xf0\x9f\x98\x86\xf0\x9f\x98\x86',ari sama beki adalah rapi *** xf xf x x xf xf x x
Jadi cowo itu harus Gantle kalo ga Gantle itu namanya BANCI !',jadi cowok itu harus gantle kalau tidak gantle itu namanya ***
USER Slga mnr bom \xf0\x9f\x98\x82',alga mnr bom xf xf x x
"Asw ya tapi gua jarang ngambek, tacut wkkwkwkwkw gua kan bucin.'",*** ya tapi gue jarang mengambek takut wkwk gue kan budak cinta
USER kalo kamu noob pasti peluang disakitin nya lebih gede si',kalau kamu *** pasti peluang disakiti nya lebih gede sih
"USER Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi g",joko widodo dinilai sebagai presiden terlemah dalam sejarah indonesia hal ini terjadi bukan saja karena jokowi tidak memiliki modal dukungan politik yang cukup melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak
PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp; PILKADA 2018 DAMAI,pelajar sama kecamatan bilah hilir deklarasi anti hoaks amp pilihan kepala daerah damai
Bandara Udara Internasional Kertajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan;,bandara udara internasional kertajati dibangun oleh gubernur ahmad heryawan tanpa gunakan anggaran pendapatan dan belanja negara pemerintah pusat insya allah siap beroperasi bulan depan
"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga...",siapapun gubernur dan presidennya rakyatnya ya kita juga
